,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B12,SYBR,,Unkn,,,23.60,23.60,0.000,,,,0.00000,72.0,
,C01,SYBR,,Unkn,,,25.18,25.18,0.000,,,,0.00000,72.0,
,C02,SYBR,,Unkn,,,24.97,24.97,0.000,,,,0.00000,72.0,
,C03,SYBR,,Unkn,,,24.83,24.83,0.000,,,,0.00000,72.0,
,C04,SYBR,,Unkn,,,22.87,22.87,0.000,,,,0.00000,72.0,
,C05,SYBR,,Unkn,,,22.84,22.84,0.000,,,,0.00000,72.0,
,C06,SYBR,,Unkn,,,23.02,23.02,0.000,,,,0.00000,72.0,
,C07,SYBR,,Unkn,,,25.27,25.27,0.000,,,,0.00000,72.0,
,C08,SYBR,,Unkn,,,25.19,25.19,0.000,,,,0.00000,72.0,
,C09,SYBR,,Unkn,,,25.16,25.16,0.000,,,,0.00000,72.0,
,C10,SYBR,,Unkn,,,23.20,23.20,0.000,,,,0.00000,72.0,
,C11,SYBR,,Unkn,,,23.00,23.00,0.000,,,,0.00000,72.0,
,C12,SYBR,,Unkn,,,23.12,23.12,0.000,,,,0.00000,72.0,
,D01,SYBR,,Unkn,,,24.82,24.82,0.000,,,,0.00000,72.0,
,D02,SYBR,,Unkn,,,24.58,24.58,0.000,,,,0.00000,72.0,
,D03,SYBR,,Unkn,,,24.87,24.87,0.000,,,,0.00000,72.0,
,D04,SYBR,,Unkn,,,24.27,24.27,0.000,,,,0.00000,72.0,
,D05,SYBR,,Unkn,,,23.48,23.48,0.000,,,,0.00000,72.0,
,D06,SYBR,,Unkn,,,23.69,23.69,0.000,,,,0.00000,72.0,
,D07,SYBR,,Unkn,,,23.54,23.54,0.000,,,,0.00000,72.0,
,D08,SYBR,,Unkn,,,23.87,23.87,0.000,,,,0.00000,72.0,
,D09,SYBR,,Unkn,,,23.73,23.73,0.000,,,,0.00000,72.0,
,D10,SYBR,,Unkn,,,24.18,24.18,0.000,,,,0.00000,72.0,
,D11,SYBR,,Unkn,,,23.30,23.30,0.000,,,,0.00000,72.0,
,D12,SYBR,,Unkn,,,24.36,24.36,0.000,,,,0.00000,72.0,
,E01,SYBR,,Unkn,,,24.36,24.36,0.000,,,,0.00000,72.0,
,E02,SYBR,,Unkn,,,24.26,24.26,0.000,,,,0.00000,72.0,
,E03,SYBR,,Unkn,,,24.24,24.24,0.000,,,,0.00000,72.0,
,E04,SYBR,,Unkn,,,22.43,22.43,0.000,,,,0.00000,72.0,
,E05,SYBR,,Unkn,,,22.34,22.34,0.000,,,,0.00000,72.0,
,E06,SYBR,,Unkn,,,22.29,22.29,0.000,,,,0.00000,72.0,
,E07,SYBR,,Unkn,,,23.99,23.99,0.000,,,,0.00000,72.0,
,E08,SYBR,,Unkn,,,23.79,23.79,0.000,,,,0.00000,72.0,
,E09,SYBR,,Unkn,,,24.10,24.10,0.000,,,,0.00000,72.0,
,E10,SYBR,,Unkn,,,22.47,22.47,0.000,,,,0.00000,72.0,
,E11,SYBR,,Unkn,,,22.44,22.44,0.000,,,,0.00000,72.0,
,E12,SYBR,,Unkn,,,22.38,22.38,0.000,,,,0.00000,72.0,
,F01,SYBR,,Unkn,,,26.15,26.15,0.000,,,,0.00000,72.0,
,F02,SYBR,,Unkn,,,25.81,25.81,0.000,,,,0.00000,72.0,
,F03,SYBR,,Unkn,,,26.00,26.00,0.000,,,,0.00000,72.0,
,F04,SYBR,,Unkn,,,26.47,26.47,0.000,,,,0.00000,72.0,
,F05,SYBR,,Unkn,,,26.23,26.23,0.000,,,,0.00000,72.0,
,F06,SYBR,,Unkn,,,26.41,26.41,0.000,,,,0.00000,72.0,
,F07,SYBR,,Unkn,,,26.17,26.17,0.000,,,,0.00000,72.0,
,F08,SYBR,,Unkn,,,26.12,26.12,0.000,,,,0.00000,72.0,
,F09,SYBR,,Unkn,,,26.12,26.12,0.000,,,,0.00000,72.0,
,F10,SYBR,,Unkn,,,26.32,26.32,0.000,,,,0.00000,72.0,
,F11,SYBR,,Unkn,,,26.18,26.18,0.000,,,,0.00000,72.0,
,F12,SYBR,,Unkn,,,26.35,26.35,0.000,,,,0.00000,72.0,
,G01,SYBR,,Unkn,,,26.09,26.09,0.000,,,,0.00000,72.0,
,G02,SYBR,,Unkn,,,25.98,25.98,0.000,,,,0.00000,72.0,
,G03,SYBR,,Unkn,,,25.95,25.95,0.000,,,,0.00000,72.0,
,G04,SYBR,,Unkn,,,24.57,24.57,0.000,,,,0.00000,72.0,
,G05,SYBR,,Unkn,,,24.55,24.55,0.000,,,,0.00000,72.0,
,G06,SYBR,,Unkn,,,24.81,24.81,0.000,,,,0.00000,72.0,
,G07,SYBR,,Unkn,,,26.52,26.52,0.000,,,,0.00000,72.0,
,G08,SYBR,,Unkn,,,26.35,26.35,0.000,,,,0.00000,72.0,
,G09,SYBR,,Unkn,,,26.44,26.44,0.000,,,,0.00000,72.0,
,G10,SYBR,,Unkn,,,24.92,24.92,0.000,,,,0.00000,72.0,
,G11,SYBR,,Unkn,,,25.12,25.12,0.000,,,,0.00000,72.0,
,G12,SYBR,,Unkn,,,25.13,25.13,0.000,,,,0.00000,72.0,
,H01,SYBR,,Unkn,,,24.03,24.03,0.000,,,,0.00000,72.0,
,H02,SYBR,,Unkn,,,23.36,23.36,0.000,,,,0.00000,72.0,
,H03,SYBR,,Unkn,,,23.70,23.70,0.000,,,,0.00000,72.0,
,H04,SYBR,,Unkn,,,18.79,18.79,0.000,,,,0.00000,72.0,
,H05,SYBR,,Unkn,,,18.99,18.99,0.000,,,,0.00000,72.0,
,H06,SYBR,,Unkn,,,18.82,18.82,0.000,,,,0.00000,72.0,
,H07,SYBR,,Unkn,,,23.59,23.59,0.000,,,,0.00000,72.0,
,H08,SYBR,,Unkn,,,23.98,23.98,0.000,,,,0.00000,72.0,
,H09,SYBR,,Unkn,,,23.87,23.87,0.000,,,,0.00000,72.0,
,H10,SYBR,,Unkn,,,18.89,18.89,0.000,,,,0.00000,72.0,
,H11,SYBR,,Unkn,,,19.21,19.21,0.000,,,,0.00000,72.0,
,H12,SYBR,,Unkn,,,19.28,19.28,0.000,,,,0.00000,72.0,
