,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,16.70,16.70,0.000,,,,0.00000,72.0,
,A02,SYBR,,Unkn,,,16.60,16.60,0.000,,,,0.00000,72.0,
,A03,SYBR,,Unkn,,,16.26,16.26,0.000,,,,0.00000,72.0,
,A04,SYBR,,Unkn,,,22.40,22.40,0.000,,,,0.00000,72.0,
,A05,SYBR,,Unkn,,,22.34,22.34,0.000,,,,0.00000,72.0,
,A06,SYBR,,Unkn,,,22.22,22.22,0.000,,,,0.00000,72.0,
,A07,SYBR,,Unkn,,,16.77,16.77,0.000,,,,0.00000,72.0,
,A08,SYBR,,Unkn,,,16.95,16.95,0.000,,,,0.00000,72.0,
,A09,SYBR,,Unkn,,,16.91,16.91,0.000,,,,0.00000,72.0,
,A10,SYBR,,Unkn,,,22.17,22.17,0.000,,,,0.00000,72.0,
,A11,SYBR,,Unkn,,,22.28,22.28,0.000,,,,0.00000,72.0,
,A12,SYBR,,Unkn,,,22.42,22.42,0.000,,,,0.00000,72.0,
,B01,SYBR,,Unkn,,,25.26,25.26,0.000,,,,0.00000,72.0,
,B02,SYBR,,Unkn,,,25.08,25.08,0.000,,,,0.00000,72.0,
,B03,SYBR,,Unkn,,,25.19,25.19,0.000,,,,0.00000,72.0,
,B04,SYBR,,Unkn,,,24.36,24.36,0.000,,,,0.00000,72.0,
,B05,SYBR,,Unkn,,,24.36,24.36,0.000,,,,0.00000,72.0,
,B06,SYBR,,Unkn,,,24.20,24.20,0.000,,,,0.00000,72.0,
,B07,SYBR,,Unkn,,,21.32,21.32,0.000,,,,0.00000,72.0,
,B08,SYBR,,Unkn,,,21.25,21.25,0.000,,,,0.00000,72.0,
,B09,SYBR,,Unkn,,,21.25,21.25,0.000,,,,0.00000,72.0,
,B10,SYBR,,Unkn,,,23.48,23.48,0.000,,,,0.00000,72.0,
,B11,SYBR,,Unkn,,,23.61,23.61,0.000,,,,0.00000,72.0,
