,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,16.74,16.74,0.000,,,,0.00000,72.0,
,A02,SYBR,,Unkn,,,16.65,16.65,0.000,,,,0.00000,72.0,
,A03,SYBR,,Unkn,,,16.60,16.60,0.000,,,,0.00000,72.0,
,A04,SYBR,,Unkn,,,22.67,22.67,0.000,,,,0.00000,72.0,
,A05,SYBR,,Unkn,,,22.53,22.53,0.000,,,,0.00000,72.0,
,A06,SYBR,,Unkn,,,22.55,22.55,0.000,,,,0.00000,72.0,
,A07,SYBR,,Unkn,,,16.64,16.64,0.000,,,,0.00000,72.0,
,A08,SYBR,,Unkn,,,16.68,16.68,0.000,,,,0.00000,72.0,
,A09,SYBR,,Unkn,,,16.75,16.75,0.000,,,,0.00000,72.0,
,A10,SYBR,,Unkn,,,22.25,22.25,0.000,,,,0.00000,72.0,
,A11,SYBR,,Unkn,,,22.32,22.32,0.000,,,,0.00000,72.0,
,A12,SYBR,,Unkn,,,22.23,22.23,0.000,,,,0.00000,72.0,
,B01,SYBR,,Unkn,,,24.67,24.67,0.000,,,,0.00000,72.0,
,B02,SYBR,,Unkn,,,24.78,24.78,0.000,,,,0.00000,72.0,
,B03,SYBR,,Unkn,,,24.70,24.70,0.000,,,,0.00000,72.0,
,B04,SYBR,,Unkn,,,24.68,24.68,0.000,,,,0.00000,72.0,
,B05,SYBR,,Unkn,,,24.41,24.41,0.000,,,,0.00000,72.0,
,B06,SYBR,,Unkn,,,24.21,24.21,0.000,,,,0.00000,72.0,
,B07,SYBR,,Unkn,,,21.21,21.21,0.000,,,,0.00000,72.0,
,B08,SYBR,,Unkn,,,21.29,21.29,0.000,,,,0.00000,72.0,
,B09,SYBR,,Unkn,,,21.19,21.19,0.000,,,,0.00000,72.0,
,B10,SYBR,,Unkn,,,23.57,23.57,0.000,,,,0.00000,72.0,
,B11,SYBR,,Unkn,,,23.57,23.57,0.000,,,,0.00000,72.0,
,B12,SYBR,,Unkn,,,23.51,23.51,0.000,,,,0.00000,72.0,
,C01,SYBR,,Unkn,,,25.31,25.31,0.000,,,,0.00000,72.0,
,C02,SYBR,,Unkn,,,25.22,25.22,0.000,,,,0.00000,72.0,
,C03,SYBR,,Unkn,,,25.29,25.29,0.000,,,,0.00000,72.0,
,C04,SYBR,,Unkn,,,23.28,23.28,0.000,,,,0.00000,72.0,
,C05,SYBR,,Unkn,,,23.26,23.26,0.000,,,,0.00000,72.0,
,C06,SYBR,,Unkn,,,23.31,23.31,0.000,,,,0.00000,72.0,
,C07,SYBR,,Unkn,,,25.74,25.74,0.000,,,,0.00000,72.0,
