,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,17.6416292184781,17.6416292184781,0,NaN,NaN,NaN,0,72,
,A02,SYBR,,Unkn,,,17.4698123710162,17.4698123710162,0,NaN,NaN,NaN,0,72,
,A03,SYBR,,Unkn,,,17.2492802186356,17.2492802186356,0,NaN,NaN,NaN,0,72,
,A04,SYBR,,Unkn,,,22.8622269139404,22.8622269139404,0,NaN,NaN,NaN,0,72,
,A05,SYBR,,Unkn,,,22.911013507079,22.911013507079,0,NaN,NaN,NaN,0,72,
,A06,SYBR,,Unkn,,,22.8168467187385,22.8168467187385,0,NaN,NaN,NaN,0,72,
,A07,SYBR,,Unkn,,,17.3989177615919,17.3989177615919,0,NaN,NaN,NaN,0,72,
,A08,SYBR,,Unkn,,,17.3082470512717,17.3082470512717,0,NaN,NaN,NaN,0,72,
,A09,SYBR,,Unkn,,,17.3715924613048,17.3715924613048,0,NaN,NaN,NaN,0,72,
,A10,SYBR,,Unkn,,,22.571710642148,22.571710642148,0,NaN,NaN,NaN,0,72,
,A11,SYBR,,Unkn,,,22.6044348247751,22.6044348247751,0,NaN,NaN,NaN,0,72,
,A12,SYBR,,Unkn,,,22.6050313133765,22.6050313133765,0,NaN,NaN,NaN,0,72,
,B01,SYBR,,Unkn,,,22.0214629435508,22.0214629435508,0,NaN,NaN,NaN,0,72,
,B02,SYBR,,Unkn,,,21.7795080238105,21.7795080238105,0,NaN,NaN,NaN,0,72,
,B03,SYBR,,Unkn,,,21.6874574175193,21.6874574175193,0,NaN,NaN,NaN,0,72,
,B04,SYBR,,Unkn,,,24.205204161645,24.205204161645,0,NaN,NaN,NaN,0,72,
,B05,SYBR,,Unkn,,,24.0417222930919,24.0417222930919,0,NaN,NaN,NaN,0,72,
,B06,SYBR,,Unkn,,,23.9332843822172,23.9332843822172,0,NaN,NaN,NaN,0,72,
,B07,SYBR,,Unkn,,,21.2247423749843,21.2247423749843,0,NaN,NaN,NaN,0,72,
,B08,SYBR,,Unkn,,,21.1279795297207,21.1279795297207,0,NaN,NaN,NaN,0,72,
,B09,SYBR,,Unkn,,,21.030180366446,21.030180366446,0,NaN,NaN,NaN,0,72,
,B10,SYBR,,Unkn,,,23.8394875106123,23.8394875106123,0,NaN,NaN,NaN,0,72,
,B11,SYBR,,Unkn,,,24.0048736274141,24.0048736274141,0,NaN,NaN,NaN,0,72,
,B12,SYBR,,Unkn,,,24.0838207547336,24.0838207547336,0,NaN,NaN,NaN,0,72,
,C01,SYBR,,Unkn,,,26.2215124748832,26.2215124748832,0,NaN,NaN,NaN,0,72,
,C02,SYBR,,Unkn,,,26.0357433049732,26.0357433049732,0,NaN,NaN,NaN,0,72,
,C03,SYBR,,Unkn,,,26.0633095152846,26.0633095152846,0,NaN,NaN,NaN,0,72,
,C04,SYBR,,Unkn,,,23.3641035494592,23.3641035494592,0,NaN,NaN,NaN,0,72,
,C05,SYBR,,Unkn,,,23.3314533180581,23.3314533180581,0,NaN,NaN,NaN,0,72,
,C06,SYBR,,Unkn,,,23.5553304479285,23.5553304479285,0,NaN,NaN,NaN,0,72,
,C07,SYBR,,Unkn,,,25.5647707579326,25.5647707579326,0,NaN,NaN,NaN,0,72,
,C08,SYBR,,Unkn,,,25.5066779772632,25.5066779772632,0,NaN,NaN,NaN,0,72,
,C09,SYBR,,Unkn,,,25.4642729117536,25.4642729117536,0,NaN,NaN,NaN,0,72,
,C10,SYBR,,Unkn,,,23.3100364068996,23.3100364068996,0,NaN,NaN,NaN,0,72,
,C11,SYBR,,Unkn,,,23.524298309815,23.524298309815,0,NaN,NaN,NaN,0,72,
,C12,SYBR,,Unkn,,,23.5351126428823,23.5351126428823,0,NaN,NaN,NaN,0,72,
,D01,SYBR,,Unkn,,,24.9160192360901,24.9160192360901,0,NaN,NaN,NaN,0,72,
,D02,SYBR,,Unkn,,,24.785713703704,24.785713703704,0,NaN,NaN,NaN,0,72,
,D03,SYBR,,Unkn,,,24.5707810717313,24.5707810717313,0,NaN,NaN,NaN,0,72,
,D04,SYBR,,Unkn,,,25.5661288128996,25.5661288128996,0,NaN,NaN,NaN,0,72,
,D05,SYBR,,Unkn,,,25.5878466664,25.5878466664,0,NaN,NaN,NaN,0,72,
,D06,SYBR,,Unkn,,,25.6465349339524,25.6465349339524,0,NaN,NaN,NaN,0,72,
,D07,SYBR,,Unkn,,,24.7082068749761,24.7082068749761,0,NaN,NaN,NaN,0,72,
,D08,SYBR,,Unkn,,,25.0537659824774,25.0537659824774,0,NaN,NaN,NaN,0,72,
,D09,SYBR,,Unkn,,,24.6972469725301,24.6972469725301,0,NaN,NaN,NaN,0,72,
,D10,SYBR,,Unkn,,,25.10023854546,25.10023854546,0,NaN,NaN,NaN,0,72,
,D11,SYBR,,Unkn,,,25.0093908054432,25.0093908054432,0,NaN,NaN,NaN,0,72,
,D12,SYBR,,Unkn,,,25.3005591548394,25.3005591548394,0,NaN,NaN,NaN,0,72,
,E01,SYBR,,Unkn,,,24.8272307060769,24.8272307060769,0,NaN,NaN,NaN,0,72,
,E02,SYBR,,Unkn,,,24.5850639132921,24.5850639132921,0,NaN,NaN,NaN,0,72,
,E03,SYBR,,Unkn,,,24.7153161767194,24.7153161767194,0,NaN,NaN,NaN,0,72,
,E04,SYBR,,Unkn,,,22.8466818816481,22.8466818816481,0,NaN,NaN,NaN,0,72,
,E05,SYBR,,Unkn,,,22.8969077117052,22.8969077117052,0,NaN,NaN,NaN,0,72,
,E06,SYBR,,Unkn,,,23.0632881403511,23.0632881403511,0,NaN,NaN,NaN,0,72,
,E07,SYBR,,Unkn,,,24.5144363945661,24.5144363945661,0,NaN,NaN,NaN,0,72,
,E08,SYBR,,Unkn,,,24.5366352406425,24.5366352406425,0,NaN,NaN,NaN,0,72,
,E09,SYBR,,Unkn,,,24.4241976932533,24.4241976932533,0,NaN,NaN,NaN,0,72,
,E10,SYBR,,Unkn,,,22.6308702162954,22.6308702162954,0,NaN,NaN,NaN,0,72,
,E11,SYBR,,Unkn,,,22.796744040318,22.796744040318,0,NaN,NaN,NaN,0,72,
,E12,SYBR,,Unkn,,,23.1188916989051,23.1188916989051,0,NaN,NaN,NaN,0,72,
